Upc,UPC,Description,ClickList Eligible,Primary Department,Recap Department,Department,Commodity,Sub-Commodity,Last 7 Days Sales,,,
68692414912,,Kroger Lowfat Vanilla Yogurt,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,8304 - YOGURT/LARGE SIZE (16OZ OR LARGER)                     ,43.75,,,
68692433766,,Dannon Oikos Triple Zero Greek Yogurt Strawberry,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,4534 - GREEK SS YOGURT                                        ,44.35,,,
52045,,Ntrn Burnt Peanuts,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,117 - GROCERY PRE-PACKAGED BULK,1708 - CANDY W/FLOUR                 ,65.99,,,
68692401559,,Coffee-mate Hazelnut Creamer,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,079 - REFRIGERATED COFFEE CREAMERS,4529 - REFRIGERATED COFFEE CREAMERS,96.55,,,
68692415004,,Kroger Fat Free French Onion Dip,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4531 - REFRIG DIPS                   ,102.23,,,
68692469071,,Promised Land 2% Reduced Fat Midnight Chocolate Milk,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,4526 - FLAVORED MILK                 ,123.86,,,
68692433516,,Dannon Oikos Triple Zero Greek Yogurt Vanilla,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,4534 - GREEK SS YOGURT                                        ,143.41,,,
68692415578,,Breakstone's Reduced Fat Cottage Cheese,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4532 - COTTAGE CHEESE                ,172.62,,,
68692414900,,Kroger Nonfat Plain Yogurt,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,8304 - YOGURT/LARGE SIZE (16OZ OR LARGER)                     ,220.24,,,
68692448939,,p$$t... White Round Top Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2401 - MAINSTREAM WHITE BREAD        ,224.97,,,
68692407751,,Kroger English Muffins,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2407 - ENGLISH MUFFINS/WAFFLES       ,231.5,,,
68692414949,,Kroger Natural Sour Cream,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4533 - SOUR CREAMS                   ,297.19,,,
68692407754,,Kroger Sourdough English Muffins,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2407 - ENGLISH MUFFINS/WAFFLES       ,304.4,,,
68692438097,,Kroger 100% Whole Wheat English Muffins,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2407 - ENGLISH MUFFINS/WAFFLES       ,312.65,,,
68692407891,,Kroger Angel Food Cake,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5412 - SWEET GOODS - FULL SIZE EXCEPT DONUTS                  ,331.57,,,
7660940115,,Savoie's Cajun Singles Sausage & Chicken Gumbo,Y,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,116 - FRZN MULTI SERVE,0006 - FZ FAMILY STYLE ENTREES       ,335.04,,,
87134,,Maple Valley Whole Milk Glass Bottle,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,4530 - FLUID MILK/WHITE ONLY         ,412.62,,,
68692407744,,Kroger Restaurant Style Dinner Rolls,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2404 - DINNER ROLLS                  ,426.21,,,
68692407753,,Kroger Cinnamon Raisin English Muffins,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2407 - ENGLISH MUFFINS/WAFFLES       ,493.95,,,
68692435966,,Kroger 100% Whole Wheat White Hamburger Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,530.85,,,
68692435967,,Kroger Whole Wheat Hotdog Buns,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2409 - HOT DOG BUNS                  ,538.04,,,
68692431378,,Kroger Honey Hot Dog Buns,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2409 - HOT DOG BUNS                  ,549.93,,,
68692440853,,Activia Vanilla Yogurt,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,8300 - PROACTIVE HEALTH YOGURT                                ,554.25,,,
68692450770,,Kroger Cinnamon Raisin Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2411 - FRUIT/BREAKFAST BREAD         ,587.71,,,
68692441426,,Yoplait Lactose Free Peach Yoghurt,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,062 - YOGURT,8302 - TRADITIONAL SS YOGURT                                  ,608.49,,,
68692407732,,Kroger Sesame Sandwich Bun,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,640.13,,,
68692414929,,Kroger Reduced Fat Sour Cream,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4533 - SOUR CREAMS                   ,655.93,,,
552,,Glacier Water Refill,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,203 - BULK WATER,0313 - DRINKING WATER                ,666.4,,,
68692441302,,Private Selection Omega-3 Flax Seed Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2405 - PREMIUM BREAD                 ,671.67,,,
68692400142,,Kroger Sweet Acidophils Low Fat Milk,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,4528 - SPECIALTY/LACTOSE FREE MILK   ,695.74,,,
68692407916,,Kroger Plain Cake Donuts,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5202 - DONUTS - BOXED,745.57,,,
68692433600,,Kroger 100% Whole Wheat Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,767.02,,,
68692415167,,Kroger Lemonade,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4542 - DAIRY CASE JUICE DRNK UNDER 10% JUICE                  ,777.22,,,
68692440539,,Heluva Good! Bacon Horseradish Dip,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4531 - REFRIG DIPS                   ,806.36,,,
68692410749,,Kroger Raspberry Danish,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5412 - SWEET GOODS - FULL SIZE EXCEPT DONUTS                  ,847.2,,,
68692431377,,Kroger Honey Sandwich Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,874.77,,,
68692403831,,Kroger Lite Wheat Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2402 - DIET/LIGHT BREAD              ,881.03,,,
68692414021,,P$$T... Hamburger Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,890.37,,,
68692407913,,Kroger Sour Cream Doughnuts,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5202 - DONUTS - BOXED,926.26,,,
68692412367,,Kroger Wheat Hoagie Roll ,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2414 - SANDWICH BUNS                 ,935.23,,,
68692407782,,Kroger Brown & Serve Flake Rolls,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2404 - DINNER ROLLS                  ,939.43,,,
68692441298,,Private Selection Country Potato Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2414 - SANDWICH BUNS                 ,971.49,,,
68692441294,,Private Selection Light Rye Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2406 - RYE BREADS                    ,987.15,,,
68692441313,,Private Selection Dark Rye Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2406 - RYE BREADS                    ,1004.36,,,
68692408663,,Kroger Hawaiian Jumbo Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,1005.02,,,
68692407928,,Kroger Glazed Chocolate Doughnut Holes,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5202 - DONUTS - BOXED,1020.48,,,
68692482489,,Kroger Soft Hoagie Rolls,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2414 - SANDWICH BUNS                 ,1026.22,,,
68692441288,,Private Selection Flax Seed & Grain Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2405 - PREMIUM BREAD                 ,1048.16,,,
7332105049,,Oreo Churros,Y,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,037 - FROZEN HANDHELDS & SNACKS,0036 - MEXICAN                       ,1094.22,,,
68692482488,,Kroger Brat & Sausage Rolls,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2414 - SANDWICH BUNS                 ,1128.99,,,
68692489402,,Kroger Slider Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2414 - SANDWICH BUNS                 ,1129.79,,,
68692441187,,p$$t... Hot Dog Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2409 - HOT DOG BUNS                  ,1165.01,,,
68692443433,,Kroger Whole Wheat Hamburger Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,1168.76,,,
68692449534,,Private Selection Cinnamion Apple Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2411 - FRUIT/BREAKFAST BREAD         ,1174.58,,,
68692450881,,Private Selection Sugarhouse Maple Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2411 - FRUIT/BREAKFAST BREAD         ,1186.23,,,
68692403818,,Kroger Texas Toast Style Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2401 - MAINSTREAM WHITE BREAD        ,1324.19,,,
68692410746,,Kroger Cheese Danish,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5412 - SWEET GOODS - FULL SIZE EXCEPT DONUTS                  ,1336.7,,,
68692441102,,Kroger Tender Twist Italian Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2410 - MAIN MEAL BREAD               ,1428.4,,,
68692426302,,Kroger Glazed Sour Cream Donut Holes,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,052 - BAKED SWEET GOODS,5202 - DONUTS - BOXED,1474.14,,,
68692489443,,Kroger Tender Twist Honey Wheat Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,1519.08,,,
1115004097,,Automated_Testing_XZRHUKyZSB,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,1563.4,,,
68692440543,,Jalapeno Cheddar Dip,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,061 - MILK BY-PRODUCTS,4531 - REFRIG DIPS                   ,1708.62,,,
68692446553,,Kroger 100% Honey Whole Wheat Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,1798.13,,,
68692441303,,Private Selection Sugar Free 100% Whole Wheat Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2402 - DIET/LIGHT BREAD              ,1863.83,,,
68692407716,,Kroger Hot Dog Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2409 - HOT DOG BUNS                  ,2226.75,,,
68692441287,,Private Selection Multigrain Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2405 - PREMIUM BREAD                 ,2291.82,,,
68692446542,,Kroger 100% Whole Wheat Roundtop Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,2488.97,,,
68692403743,,Kroger Buttermilk Round Top Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2401 - MAINSTREAM WHITE BREAD        ,2589.88,,,
68692407700,,Kroger Sandwich Buns ,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,2829.75,,,
68692407742,,Kroger Jumbo Sliced Sandwich Buns,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2403 - HAMBURGER BUNS                ,2844,,,
68692400187,,Kroger Low Fat Buttermilk,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,4525 - BUTTERMILK                    ,2973.79,,,
1111090740,,Automated_Testing_CKzuFzNDGM,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,3008.28,,,
68692415182,,Kroger Homestyle Orange Juice,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,3086.85,,,
1111004072,,Fred Meyer Onion Bagels,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2408 - BAGELS                        ,3782.82,,,
68692415176,,Kroger Homestyle Orange Juice,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,4879.52,,,
2300096505,,Brooks Hot Chili Beans!,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,003 - CAN BEANS,2050 - VARIETY BEANS - KIDNEY/PINTO/ETC                       ,4948.04,,,
68692419250,,Kroger Round Top Wheat Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2412 - MAINSTREAM VARIETY BREADS     ,5015.85,,,
68692441296,,Kroger Tender Twist White Enriched Sandwich Bread,N,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2401 - MAINSTREAM WHITE BREAD        ,5133.91,,,
1111087695,,Automated_Testing_lQVVVqnGfg,Y,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,043 - FROZEN JUICE,0182 - FRZN OJ&OJ SUBSTITUTES (OVER 50% JUICE)                ,6206.71,,,
68692441393,,Kroger Round Top White Bread,Y,01 - GROCERY        ,01 - GROCERY        ,75 - COMMERCIAL BKY ,050 - BAKED BREADS                  ,2401 - MAINSTREAM WHITE BREAD        ,7835.11,,,
1111089254,,Abound Grain Free Chicken And Chick Pea,Y,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,095 - DRY CAT FOOD,7208 - DRY CAT FOOD ULTRA PREMIUM    ,9227.82,,,
1111048459,,Fred Meyer Original Orange Juice,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,9247.74,,,
1111048461,,Fred Meyer Orange Juice with Calcium,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4539 - DAIRY CASE 100% PURE JUICE - OJ                        ,9539.6,,,
1111089622,,Kroger Small Red Beans,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,092 - DRY BEAN VEG&RICE,8136 - DRY BEANS/PEAS/BARLEY: BAG & BOX                       ,9644.34,,,
1111089941,,Private Selection Carolina BBQ Kettle Chips,Y,01 - GROCERY        ,01 - GROCERY        ,60 - CKY/CRKR/SNK   ,055 - BAG SNACKS                    ,4276 - POTATO CHIPS                  ,17883.02,,,
4400002529,,Nabisco Double Stuf Chocolate Creme Oreos,Y,01 - GROCERY        ,01 - GROCERY        ,60 - CKY/CRKR/SNK   ,053 - COOKIES                       ,4406 - SANDWICH COOKIES              ,20988.51,,,
3940001972,,Bush's Country Style Baked Beans,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,003 - CAN BEANS,2046 - PREPARED BEANS - BAKED W/PORK /VEGETARIAN              ,30478.12,,,
3800040340,,Kellogg's Eggo Strawberry Waffles,Y,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,046 - FROZEN BREAKFAST FOODS,0032 - WAFFLES/PANCAKES/FRENCH TOAST ,36348.17,,,
1111042305,,Kroger Fat Free Skim Milk,Y,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,060 - FLUID MILK PRODUCTS,4530 - FLUID MILK/WHITE ONLY         ,170688.12,,,
1,,Sandwich Rolls,N,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,045 - FROZEN ICE,0206 - BLOCK ICE                     ,,,,
4,,Dry Ice,Y,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,045 - FROZEN ICE,0205 - DRY ICE                       ,,,,
8,,Ice Crushed Cubed,N,01 - GROCERY        ,01 - GROCERY        ,45 - FROZEN GROCERY,045 - FROZEN ICE,0199 - ICE - CRUSHED/CUBED           ,,,,
24,,Steak!,N,01 - GROCERY        ,01 - GROCERY        ,12 - SOFT DRINKS,029 - SOFT DRINKS,8239 - DRINK MACHINES                ,,,,
46,,Aquafina Water,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,035 - WATER,3501 - CASE PACK WATER               ,,,,
553,,Glacier Water  Jug,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,203 - BULK WATER,0311 - SPRING WATER                  ,,,,
920,,Private Label Water,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,035 - WATER,3505 - WATER SINGLE                  ,,,,
1111,,Gr Ppn Original Sqz Mstrd,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,088 - CONDIMENTS & SAUCES,0209 - MUSTARD - ALL OTHER           ,,,,
2620,,Nissin Cup Noodle Case,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,026 - DRY RAMEN                     ,3180 - RAMEN NOODLES/RAMEN CUPS      ,,,,
0000000004AAA,,Gr Ppn Original Sqz Mstrd,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,088 - CONDIMENTS & SAUCES,0209 - MUSTARD - ALL OTHER           ,,,,
5817,,Aroma Bulk Coffee,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,024 - COFFEE & CREAMERS,5220 - BULK COFFEE                   ,,,,
5948,,Bulk Milk Chocolate,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,016 - BAKING NEEDS,4238 - COOKING CHOCOLATE (EX SMI-SWT),,,,
8062,,Peter Pan Simple Grand Peanut Butter,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,076 - PEANUT BUTTER/JELLY/JAMS&HONEY,2230 - NUT BUTTERS,,,,
8245,,Fred Meyer Creamy Peanut Butter,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,076 - PEANUT BUTTER/JELLY/JAMS&HONEY,2230 - NUT BUTTERS,,,,
84253,,Fancy Feast Sliced Chicken & Hearts Dinner,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7187 - WET CAT FOOD - PREMIUM        ,,,,
348077,,Sunny Delight Florida Style,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4542 - DAIRY CASE JUICE DRNK UNDER 10% JUICE                  ,,,,
348078,,Sunny Delight California Style,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4542 - DAIRY CASE JUICE DRNK UNDER 10% JUICE                  ,,,,
348079,,Sunny Delight Caribbean Style,N,01 - GROCERY        ,01 - GROCERY        ,05 - DAIRY,063 - REFRGRATD JUICES/DRINKS,4542 - DAIRY CASE JUICE DRNK UNDER 10% JUICE                  ,,,,
348086,,Case Sliced Pears,Y,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,001 - CANNED FRUIT/FRUIT BOWLS,1021 - PEARS                         ,,,,
349582,,Kroger Mexican Style Beans,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,003 - CAN BEANS,2050 - VARIETY BEANS - KIDNEY/PINTO/ETC                       ,,,,
349584,,Kroger Light Red Kidney Beans,N,01 - GROCERY        ,01 - GROCERY        ,01 - GROC-ALL OTHER,003 - CAN BEANS,2050 - VARIETY BEANS - KIDNEY/PINTO/ETC                       ,,,,
350015,,Friskies Shredded Beef Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350018,,Friskies Sliced Variety Pack Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350019,,Friskies Shredded Turkey Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350021,,Friskies Liver & Chicken Pate Cat Food Can,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350022,,Friskies Mixed Grill Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350023,,Friskies Turkey & Giblets Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350024,,Friskies Meaty Bits Chicken Dinner Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350025,,Friskies Beef & Chicken Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350026,,Friskies Diet Turkey Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350027,,Friskies Diet Whitefish Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350028,,Friskies Beef With Meaty Bits Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
350029,,Friskies Salmon Pate Cat Food Case,N,01 - GROCERY        ,01 - GROCERY        ,52 - PET            ,021 - WET CAT FOOD,7198 - WET CAT FOOD - REGULAR        ,,,,
